2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
37	TrumpTrain17	"Leaving it in the hands of the Democrats" is not the right thing to do. Be a leader, for once. https://t.co/1VIODjy0jL	Tue Apr 04 13:11:23 CDT 2017	null	null	null	"Leaving it in the hands of the Democrats" is not the right thing to do. Be a leader, for once. https://t.co/1VIODjy0jL
38	jabs611	RT @KillerKellyReno: Susan Rice& #Obama admin committed political espionage! #MSM complicit, refuses to cover story, says doesn't deserv… 	Tue Apr 04 13:11:23 CDT 2017	null	null	null	RT @KillerKellyReno: Susan Rice& #Obama admin committed political espionage! #MSM complicit, refuses to cover story, says doesn't deserv… 
39	umaytengri	RT @SARReport: Seems the chemical attack today in Syria is mostly associated with #Europe & #USA internal politics than for #Syria itself #…	Tue Apr 04 13:11:23 CDT 2017	null	null	null	RT @SARReport: Seems the chemical attack today in Syria is mostly associated with #Europe & #USA internal politics than for #Syria itself #…
40	jeankat10	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:11:24 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
41	KSTksti	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S	Tue Apr 04 13:11:29 CDT 2017	null	null	null	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S
42	InTheYear1611	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:11:30 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
43	oliemibou	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:11:32 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
44	Jedi_Pite_Bre	#Panama scandal was clandestine moment planned by #Soros and #Obama to attack #Russia https://t.co/5lLddeC2iY	Tue Apr 04 13:11:33 CDT 2017	null	null	null	#Panama scandal was clandestine moment planned by #Soros and #Obama to attack #Russia https://t.co/5lLddeC2iY
45	Crossbearer1956	Was #Obama giving #CrookedHillary #NSA intercepts of the #Trump campaign b4 election? #ObamaGate #TrumpTrain #MAGA https://t.co/xENraddqYs	Tue Apr 04 13:11:33 CDT 2017	null	null	null	Was #Obama giving #CrookedHillary #NSA intercepts of the #Trump campaign b4 election? #ObamaGate #TrumpTrain #MAGA https://t.co/xENraddqYs
46	SamuelMoyer_	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S	Tue Apr 04 13:11:34 CDT 2017	null	null	null	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S
47	heavyde65	#IOF confiscates mobile house in #Nablus https://t.co/AR1bWFtLjC #FreePalestine #BoycottIsrael #DonaldTrump #CNN #BBC #FoxNews #Apartheid	Tue Apr 04 13:11:34 CDT 2017	null	null	null	#IOF confiscates mobile house in #Nablus https://t.co/AR1bWFtLjC #FreePalestine #BoycottIsrael #DonaldTrump #CNN #BBC #FoxNews #Apartheid
48	CarolSpurlock4	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:11:35 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
49	mobileal2017	RT @myGianLuca: #Espionage by #SusanRice @AmbassadorRice #FriedRice & @BarackObama #ArrestObama #ArrestSusanRice #Treason… 	Tue Apr 04 13:11:36 CDT 2017	null	null	null	RT @myGianLuca: #Espionage by #SusanRice @AmbassadorRice #FriedRice & @BarackObama #ArrestObama #ArrestSusanRice #Treason… 
50	romneyobama	White House Criticizes Barack Obama In Response To Syrian Massacre - Huffington Post https://t.co/lVh0BDbpr5 #Obama	Tue Apr 04 13:11:37 CDT 2017	null	null	null	White House Criticizes Barack Obama In Response To Syrian Massacre - Huffington Post https://t.co/lVh0BDbpr5 #Obama
51	MrStevenJones	#Obama must shoulder some responsibility for allowing #Assad to massacre his own people. America failed by allowing… https://t.co/HeIF855iYm	Tue Apr 04 13:11:38 CDT 2017	null	null	null	#Obama must shoulder some responsibility for allowing #Assad to massacre his own people. America failed by allowing… https://t.co/HeIF855iYm
52	chartsrgood	RT @PLTC_PastLives: "Any ideas why #Obama skipped the country and is now in hiding on an island that does not allow extradition?"#Rice http…	Tue Apr 04 13:11:45 CDT 2017	null	null	null	RT @PLTC_PastLives: "Any ideas why #Obama skipped the country and is now in hiding on an island that does not allow extradition?"#Rice http…
53	AntiAmnesty2016	RT @FoxNews: .@tedcruz: #HillaryClinton promised a liberal activist, and #DonaldTrump promised a principled Constitutionalist li… 	Tue Apr 04 13:11:47 CDT 2017	null	null	null	RT @FoxNews: .@tedcruz: #HillaryClinton promised a liberal activist, and #DonaldTrump promised a principled Constitutionalist li… 
54	tomesimpson	@TheRealMizDeb Can you please tell me where the $3.04 BILLION that #obama spent A DAY for 8 YEARS (2920 STRAIGHT DAYS) went, please?	Tue Apr 04 13:11:50 CDT 2017	null	null	null	@TheRealMizDeb Can you please tell me where the $3.04 BILLION that #obama spent A DAY for 8 YEARS (2920 STRAIGHT DAYS) went, please?
55	grayguy1942	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:11:51 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
56	PragmaticEbooks	YES!!!!!!!!!! #WhatsYourLineInTheSand #blacklivesmatter #maga #donaldtrump #potus #blacktwitter #foxnews @potus… https://t.co/mmoEz4058X	Tue Apr 04 13:11:52 CDT 2017	null	null	null	YES!!!!!!!!!! #WhatsYourLineInTheSand #blacklivesmatter #maga #donaldtrump #potus #blacktwitter #foxnews @potus… https://t.co/mmoEz4058X
57	colleenkingd	#Trump is a Bad President , but is an evil genius at cultivating hatred & division. #susanrice #obama… https://t.co/0pROCxltlN	Tue Apr 04 13:11:53 CDT 2017	null	null	null	#Trump is a Bad President , but is an evil genius at cultivating hatred & division. #susanrice #obama… https://t.co/0pROCxltlN
58	BiglyMassive	@BuckSexton @Lunaseesall Wait til they find out #Obama also spied on @seanhannity & Erik Prince @Cernovich just broke the story	Tue Apr 04 13:11:54 CDT 2017	null	null	null	@BuckSexton @Lunaseesall Wait til they find out #Obama also spied on @seanhannity & Erik Prince @Cernovich just broke the story
59	meyers000111	#Trump has a chance to prove that #Obama was nothing but Terror in Chief when it came to killing Terrorists https://t.co/gaHVQYzuKy	Tue Apr 04 13:11:55 CDT 2017	null	null	null	#Trump has a chance to prove that #Obama was nothing but Terror in Chief when it came to killing Terrorists https://t.co/gaHVQYzuKy
60	ev0ldan	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:11:55 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
61	USAFRET_MSgt	RT @comermd: Will #SusanRice bring down #obama? What ever you do Susan, don't take baths, long walks at night or order take out!… 	Tue Apr 04 13:11:56 CDT 2017	null	null	null	RT @comermd: Will #SusanRice bring down #obama? What ever you do Susan, don't take baths, long walks at night or order take out!… 
62	illiadarden	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:11:56 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
63	DEPLORABLERAY11	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 13:11:59 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
64	KimberleeHicks3	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:11:59 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
65	eurekajimbob	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 13:11:59 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
