2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
6980	PamB60	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:14:07 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
6981	LibertyAndTech	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:08 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
6982	jmaclac239	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:14:11 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
6983	AlphaStormerQ	RT @AlpHaStormerC: #pizzagate THE #podastas and #Obama ARE GONNA FRY! Murdered! Scalia's Remains To Be Exhumed! https://t.co/LJYEhnaHRa vi…	Tue Apr 04 17:14:15 CDT 2017	null	null	null	RT @AlpHaStormerC: #pizzagate THE #podastas and #Obama ARE GONNA FRY! Murdered! Scalia's Remains To Be Exhumed! https://t.co/LJYEhnaHRa vi…
6984	rkurek08	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:14:15 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
6985	DZnutts1	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:16 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
6986	Jedi_Pite_Bre	#Obama worst president ever-His legacy is spread of #Terrorism & attempted destruction of America https://t.co/LDC7TieOwJ	Tue Apr 04 17:14:19 CDT 2017	null	null	null	#Obama worst president ever-His legacy is spread of #Terrorism & attempted destruction of America https://t.co/LDC7TieOwJ
6987	CraigSmith510	@AmbassadorRice Drip... https://t.co/zMMIW9RcmF	Tue Apr 04 17:14:19 CDT 2017	null	null	null	@AmbassadorRice Drip... https://t.co/zMMIW9RcmF
6988	MCohorst77	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:14:19 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
6989	AlphaStormerQ	RT @bfraser747: #John Podesta recieved at least $35M from the #Russians while working with #Obama & #Hillary. WHERES THAT STORY… 	Tue Apr 04 17:14:21 CDT 2017	null	null	null	RT @bfraser747: #John Podesta recieved at least $35M from the #Russians while working with #Obama & #Hillary. WHERES THAT STORY… 
6990	SOTTnet	Puppet Masters: #RandPaul: #SusanRice needs to testify under oath if #Obama ordered her to "unmask" #Trump team https://t.co/xRTMvU6JJB	Tue Apr 04 17:14:21 CDT 2017	null	null	null	Puppet Masters: #RandPaul: #SusanRice needs to testify under oath if #Obama ordered her to "unmask" #Trump team https://t.co/xRTMvU6JJB
6991	Pattib1946	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:14:23 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
6992	LadyConserv	RT @John_Evans_CA: I dindu nuffin https://t.co/XcrF1IMawh	Tue Apr 04 17:14:23 CDT 2017	null	null	null	RT @John_Evans_CA: I dindu nuffin https://t.co/XcrF1IMawh
6993	quixxdraw	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:26 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
6994	mjgranger1	RT @nyvetvote: @risetoflyy & did #SusanRice carryout #Obama's order to #Hack #MichaelHastings car for the #Bergdahl #Gitmo 5 deal?… 	Tue Apr 04 17:14:27 CDT 2017	null	null	null	RT @nyvetvote: @risetoflyy & did #SusanRice carryout #Obama's order to #Hack #MichaelHastings car for the #Bergdahl #Gitmo 5 deal?… 
6995	luvforart1	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:27 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
6996	DeplorablePundt	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:28 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
6997	Wyndie57	RT @GemMar333: .@VP Mike Pence Prefers Dinner With His Wife...😍 On The Other Hand...#Obama leaves the Wifey and Kiddos Behind... 🤔😏 https:/…	Tue Apr 04 17:14:28 CDT 2017	null	null	null	RT @GemMar333: .@VP Mike Pence Prefers Dinner With His Wife...😍 On The Other Hand...#Obama leaves the Wifey and Kiddos Behind... 🤔😏 https:/…
6998	rgproductdotcom	#WH could #manup now & do something. Not blame #Obama (he did fail though). https://t.co/M7TUGpXWIT	Tue Apr 04 17:14:29 CDT 2017	null	null	null	#WH could #manup now & do something. Not blame #Obama (he did fail though). https://t.co/M7TUGpXWIT
6999	EndLiberalism	@Cernovich #SusanRice #SusanRice told Andrea Mitchell collection was ordered by president! Shouldnt we be #OBAMA… https://t.co/JBlTheTmpu	Tue Apr 04 17:14:34 CDT 2017	null	null	null	@Cernovich #SusanRice #SusanRice told Andrea Mitchell collection was ordered by president! Shouldnt we be #OBAMA… https://t.co/JBlTheTmpu
7000	vikaroo5	RT @Macel_Corbin: When #Obama National Security Advisor SusanRice #unmasked #Trump & his people, who benefited but Obama? #HillaryClinton !…	Tue Apr 04 17:14:35 CDT 2017	null	null	null	RT @Macel_Corbin: When #Obama National Security Advisor SusanRice #unmasked #Trump & his people, who benefited but Obama? #HillaryClinton !…
7001	912amc	Ruusia & China (in)directly supporting use of #ChemicalWeapons by #AssadRegime in #Syria #WarCrimes #SarinAttack… https://t.co/qebRRW054i	Tue Apr 04 17:14:38 CDT 2017	null	null	null	Ruusia & China (in)directly supporting use of #ChemicalWeapons by #AssadRegime in #Syria #WarCrimes #SarinAttack… https://t.co/qebRRW054i
7002	sammarazzi	RT @kwilli1046: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/MoDkbpC7kf	Tue Apr 04 17:14:39 CDT 2017	null	null	null	RT @kwilli1046: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/MoDkbpC7kf
7003	Crossbearer1956	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:41 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7004	Gophers21	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 	Tue Apr 04 17:14:43 CDT 2017	null	null	null	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 
7005	tg_baca	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:14:46 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7006	MikeSerpe	Got a really bad case of fleas from @POTUS? https://t.co/0me7elLZl2	Tue Apr 04 17:14:46 CDT 2017	null	PlaceJSONImpl{name='Wisconsin', streetAddress='null', countryCode='US', id='7dc5c6d3bfb10ccc', country='United States', placeType='admin', url='https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json', fullName='Wisconsin, USA', boundingBoxType='Polygon', boundingBoxCoordinates=[[Ltwitter4j.GeoLocation;@372191e5], geometryType='null', geometryCoordinates=null, containedWithIn=null}	null	Got a really bad case of fleas from @POTUS? https://t.co/0me7elLZl2
7007	SOTTnet	Puppet Masters: The Real #Russiagate is #Obama's Stasi State https://t.co/64GLAGKbm6	Tue Apr 04 17:14:48 CDT 2017	null	null	null	Puppet Masters: The Real #Russiagate is #Obama's Stasi State https://t.co/64GLAGKbm6
7008	madeINTheUSA006	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 17:14:48 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
7009	LGKITTEN	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 	Tue Apr 04 17:14:52 CDT 2017	null	null	null	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 
7010	garrett_stock	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:14:54 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7011	JacobsonNate	I'm 28 think of the #OpportunityCost of 28 years #Bush #Clinton #Obama, @realDonaldTrump you only have to make up for entire generation of 📉	Tue Apr 04 17:14:57 CDT 2017	null	null	null	I'm 28 think of the #OpportunityCost of 28 years #Bush #Clinton #Obama, @realDonaldTrump you only have to make up for entire generation of 📉
7012	janiejoMT	RT @Lookinabout: #Translation That one time I pretended to be an objective journalist. Don't worry. Obama was in on the gag. https://t.co/y…	Tue Apr 04 17:14:57 CDT 2017	null	null	null	RT @Lookinabout: #Translation That one time I pretended to be an objective journalist. Don't worry. Obama was in on the gag. https://t.co/y…
7013	jmb76109	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice	Tue Apr 04 17:14:58 CDT 2017	null	null	null	RT @RealJamesWoods: "I leaked nothin' to nobody." - Susan Rice. This quote reeks of an unhappy destiny. #RiceGate #Obama #SusanRice
7014	cbs4000	RT @realnl01: @SpinDr @jaketapper https://t.co/qlCnte3cHd	Tue Apr 04 17:14:57 CDT 2017	null	null	null	RT @realnl01: @SpinDr @jaketapper https://t.co/qlCnte3cHd
7015	jillybeangibson	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:14:59 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7016	____michele___	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:15:03 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7017	Cheetohjesus4	Trump’s low approval numbers are not ‘fake news’ https://t.co/ZdYv69o50X #maga #deplorables #donaldtrump https://t.co/Z8snxHBSdZ	Tue Apr 04 17:15:05 CDT 2017	null	null	null	Trump’s low approval numbers are not ‘fake news’ https://t.co/ZdYv69o50X #maga #deplorables #donaldtrump https://t.co/Z8snxHBSdZ
7018	clroger	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:06 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7019	deborahjlundy	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:15:07 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7020	PatinHfx	RT @RealJack: You know you got the right guy when years of spying doesn't find any dirt on Donald Trump. #SusanRice #Obama	Tue Apr 04 17:15:07 CDT 2017	null	null	null	RT @RealJack: You know you got the right guy when years of spying doesn't find any dirt on Donald Trump. #SusanRice #Obama
7021	danielc2010	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:15:09 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7022	gallowaygirl9	RT @RealJack: You know you got the right guy when years of spying doesn't find any dirt on Donald Trump. #SusanRice #Obama	Tue Apr 04 17:15:10 CDT 2017	null	null	null	RT @RealJack: You know you got the right guy when years of spying doesn't find any dirt on Donald Trump. #SusanRice #Obama
7023	JoeRash3	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:15:11 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7024	TrumpIsRight	RT @CHRIS_Laz1: The propaganda network #CNN has an #obama appointee reporting on #SusanRice scandal #SusanRiceUnmasked https://t.co/VUfu46j…	Tue Apr 04 17:15:13 CDT 2017	null	null	null	RT @CHRIS_Laz1: The propaganda network #CNN has an #obama appointee reporting on #SusanRice scandal #SusanRiceUnmasked https://t.co/VUfu46j…
7025	Bill381987	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:15:15 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7026	smoothsentiment	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:15:20 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7027	Pattib1946	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:21 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7028	footh59	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:15:22 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7029	elnazesmati	RT @BBCBarbaraPlett: White House blames #Syria chemical attack on #Obama's 'weakness and irresolution.' So where's #Trump's Syria plan?	Tue Apr 04 17:15:23 CDT 2017	null	null	null	RT @BBCBarbaraPlett: White House blames #Syria chemical attack on #Obama's 'weakness and irresolution.' So where's #Trump's Syria plan?
7030	AlphaStormerQ	RT @Alpha_Stormer: CENSORED by The United Nations! Thanks to #OBAMA! They Finally Found a Slick Way to Silence Alternative Media! https://t…	Tue Apr 04 17:15:23 CDT 2017	null	null	null	RT @Alpha_Stormer: CENSORED by The United Nations! Thanks to #OBAMA! They Finally Found a Slick Way to Silence Alternative Media! https://t…
7031	LoversWin	RT @JoosieLeaks: Things just keep getting worse for the #Obama Administration. #SusanRice #SusanRiceUnmasked https://t.co/8WZJLwqKuu https:…	Tue Apr 04 17:15:24 CDT 2017	null	null	null	RT @JoosieLeaks: Things just keep getting worse for the #Obama Administration. #SusanRice #SusanRiceUnmasked https://t.co/8WZJLwqKuu https:…
7032	frgrab_frank	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:15:26 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7033	thatgirlsandra5	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:27 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7034	GretchenPuskas	RT @JoosieLeaks: Things just keep getting worse for the #Obama Administration. #SusanRice #SusanRiceUnmasked https://t.co/8WZJLwqKuu https:…	Tue Apr 04 17:15:29 CDT 2017	null	null	null	RT @JoosieLeaks: Things just keep getting worse for the #Obama Administration. #SusanRice #SusanRiceUnmasked https://t.co/8WZJLwqKuu https:…
7035	trend_auditor	#Obama created the terror we face today - #Trump has a chance to knock them out of their perches https://t.co/TmWIZgHIX2	Tue Apr 04 17:15:29 CDT 2017	null	null	null	#Obama created the terror we face today - #Trump has a chance to knock them out of their perches https://t.co/TmWIZgHIX2
7036	Helensprogeny	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S	Tue Apr 04 17:15:29 CDT 2017	null	null	null	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S
7037	MarkMcD91115684	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:30 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7038	jaqui_baxter	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:15:35 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7039	Trendplayer007	#Obama welcomed Terrorists - #Trump has the chance to knock them out https://t.co/hXXkj80Gf9	Tue Apr 04 17:15:37 CDT 2017	null	null	null	#Obama welcomed Terrorists - #Trump has the chance to knock them out https://t.co/hXXkj80Gf9
7040	alcanlin	Welcome to Jared Kushner’s World https://t.co/R6G3Yn3YZT #Trump #DonaldTrump #JaredKushner	Tue Apr 04 17:15:45 CDT 2017	null	null	null	Welcome to Jared Kushner’s World https://t.co/R6G3Yn3YZT #Trump #DonaldTrump #JaredKushner
7041	4djt2016	@WineGuyVenice #Obama #SorosMoney #SorosPuppet #NoLegacy #OnlyEvil	Tue Apr 04 17:15:50 CDT 2017	null	null	null	@WineGuyVenice #Obama #SorosMoney #SorosPuppet #NoLegacy #OnlyEvil
7042	clare_morin	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:15:51 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7043	diannakhouri	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:51 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7044	waterbearer251	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:52 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7045	LockHerUp4Ever	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:15:56 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7046	AmericanSniperG	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:15:57 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7047	rula_gogas	RT @hinterlandg: @jaketapper There are more tweets from #DonaldTrump calling on #Obama not to enforce his red line in #Syria. What a… 	Tue Apr 04 17:15:57 CDT 2017	null	null	null	RT @hinterlandg: @jaketapper There are more tweets from #DonaldTrump calling on #Obama not to enforce his red line in #Syria. What a… 
7048	JanetPageHill	There must be some way to get rid of this kind of EVIL. https://t.co/LhP6nKEPP0	Tue Apr 04 17:15:58 CDT 2017	null	null	null	There must be some way to get rid of this kind of EVIL. https://t.co/LhP6nKEPP0
7049	brokenwing2005	#LiarInChief: Why blame the perpetrators #Assad & #Putin, when he can blame #Obama for #saran gas attack? https://t.co/r4SAeyxzLt	Tue Apr 04 17:15:59 CDT 2017	null	null	null	#LiarInChief: Why blame the perpetrators #Assad & #Putin, when he can blame #Obama for #saran gas attack? https://t.co/r4SAeyxzLt
7050	ObamaInTheNews	San Francisco (CA) KPIX: Trump Faults Obama's Weakness' For Chemical Attack In Syria . More #Obama #news - https://t.co/OkWn16TLaX	Tue Apr 04 17:16:00 CDT 2017	null	null	null	San Francisco (CA) KPIX: Trump Faults Obama's Weakness' For Chemical Attack In Syria . More #Obama #news - https://t.co/OkWn16TLaX
7051	sledfast597	RT @Bane1349: James remember we are dealing with people Expert in the Art of Deception helped by All Left Stream Media and Fat F_… 	Tue Apr 04 17:16:02 CDT 2017	null	null	null	RT @Bane1349: James remember we are dealing with people Expert in the Art of Deception helped by All Left Stream Media and Fat F_… 
7052	AmericanSniperG	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:16:06 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7053	RandSteeves	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:16:07 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7054	RussJensen5	RT @alan_poirier: #Obama spied on journalists, opponents, used #IRS against enemies, yet somehow #Trump is the scary authoritarian. #Bizarr…	Tue Apr 04 17:16:07 CDT 2017	null	null	null	RT @alan_poirier: #Obama spied on journalists, opponents, used #IRS against enemies, yet somehow #Trump is the scary authoritarian. #Bizarr…
7055	bwtanker	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:16:07 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7056	AnilNS425	RT @FoxNewsResearch: Suspected #Syria Chemical Attack: ∙1,687 days after #Obama “red line” comment ∙4 days after #Tillerson says Syrians… 	Tue Apr 04 17:16:08 CDT 2017	null	null	null	RT @FoxNewsResearch: Suspected #Syria Chemical Attack: ∙1,687 days after #Obama “red line” comment ∙4 days after #Tillerson says Syrians… 
7057	FaronSaxton	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 17:16:09 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
7058	afandouangel	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 	Tue Apr 04 17:16:09 CDT 2017	null	null	null	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 
7059	reach_mia	REAL #Hackers re #Election2016 & useers of #UndueInfluence to get Govt. employees to participate in #criminal… https://t.co/nH5r2EL4Ji	Tue Apr 04 17:16:09 CDT 2017	null	null	null	REAL #Hackers re #Election2016 & useers of #UndueInfluence to get Govt. employees to participate in #criminal… https://t.co/nH5r2EL4Ji
7060	beaglesrock917	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…	Tue Apr 04 17:16:11 CDT 2017	null	null	null	RT @RealJamesWoods: Since every unmasking request is recorded by NSA as a mandated procedure, those requests can be tracked. #SpecialProsec…
7061	MSMCali	#ICYMI #War .@seanhannity if he finds proof of being spied on: “I’ll sue #Obama himself, Ben Rhodes, #SusanRice" https://t.co/61opIMk43Z	Tue Apr 04 17:16:12 CDT 2017	null	null	null	#ICYMI #War .@seanhannity if he finds proof of being spied on: “I’ll sue #Obama himself, Ben Rhodes, #SusanRice" https://t.co/61opIMk43Z
7062	DanielleNRiis	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:16:12 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7063	BiberJim	RT @meyers000111: #Obama’s is the only president that openly supported #RadicalMuslims & opens #American up to them https://t.co/xiYlEWdTXv	Tue Apr 04 17:16:13 CDT 2017	null	null	null	RT @meyers000111: #Obama’s is the only president that openly supported #RadicalMuslims & opens #American up to them https://t.co/xiYlEWdTXv
7064	Blak_Unikon	@badgirl_loony Ra ra RusPutin, @realDonaldTrump vote machine, he's got him by the balls and he's squeezing good!! #DonaldTrump #russiagate	Tue Apr 04 17:16:14 CDT 2017	null	null	null	@badgirl_loony Ra ra RusPutin, @realDonaldTrump vote machine, he's got him by the balls and he's squeezing good!! #DonaldTrump #russiagate
7065	hmmngbrd508	RT @RT_America: WATCH LIVE: President #DonaldTrump is hosting almost 50 CEOs at a town hall meeting https://t.co/sxWtnanGjM https://t.co/o1…	Tue Apr 04 17:16:14 CDT 2017	null	null	null	RT @RT_America: WATCH LIVE: President #DonaldTrump is hosting almost 50 CEOs at a town hall meeting https://t.co/sxWtnanGjM https://t.co/o1…
7066	WillRosewater	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 17:16:20 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
7067	mlspinks	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 	Tue Apr 04 17:16:20 CDT 2017	null	null	null	RT @bfraser747: We need to fight back against #Obama's intelligence leaks and all forms of a #ShadowGovernment #DrainTheSwamp… 
7068	o4america	NEW EVIDENCE INDICATES THE #RUSSIA 'SCANDAL' IS THE WORK OF TEAM #OBAMA #o4a #news #Trump https://t.co/BVAToFpRsV	Tue Apr 04 17:16:23 CDT 2017	null	null	null	NEW EVIDENCE INDICATES THE #RUSSIA 'SCANDAL' IS THE WORK OF TEAM #OBAMA #o4a #news #Trump https://t.co/BVAToFpRsV
7069	iDSoutherland	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 	Tue Apr 04 17:16:24 CDT 2017	null	null	null	RT @Uncle_Jimbo: #SusanRice can only give up #Obama as trade for immunity Kinda doubt she will But we'll see when the indictments… 
7070	Vickeywoods	Let us not forget this terrible "accident". https://t.co/s0U59zOBHz	Tue Apr 04 17:16:26 CDT 2017	null	null	null	Let us not forget this terrible "accident". https://t.co/s0U59zOBHz
